nicobar,7.0,93.0
north & middle andaman,12.61123865,92.83165406414926
south andaman,10.7056905,92.48746789633373
anjaw,28.1114301,96.82699963398373
changlang,27.1398402,95.7382485
dibang valley,28.8291044,95.95540957636018
east kameng,27.3,93.05
east siang,28.3,95.15
kurung kumey,27.98636765,93.15783468644102
lohit,28.035016149999997,96.17135154220676
lower dibang valley,28.21495625,95.87877403567019
lower subansiri,27.8,93.6
papumpara,27.2241,93.5003
tawang,27.5879186,91.863733
tirap,27.03016895,95.49791754505583
upper siang,28.73120455,95.03773151350946
upper subansiri,28.3,94.0
west kameng,27.4,92.35
west siang,28.4,94.55
baksa,45.9595045,18.0950419
barpeta,26.34142215,91.01674328474073
bongaigaon,26.412376950000002,90.57149765106257
cachar,24.758639950000003,92.88166475768219
chirang,26.6464231,90.62415698729875
darrang,26.75,92.5
dhemaji,27.466831499999998,94.51786508708852
dhubri,26.18178335,89.96876897646926
dibrugarh,27.4844597,94.9019447
dima hasao,25.400362549999997,93.07522922678905
goalpara,26.1783623,90.6226683
golaghat,26.40490095,94.03209112120626
hailakandi,24.68845365,92.57381528240943
jorhat,26.7577925,94.2079645
kamrup (rural),25.9411,91.2891
kamrup metro.,25.9411,91.2891
karbi anglong,26.0,93.5
karimganj,24.8647214,92.3681114
kokrajhar,26.46817205,90.42434746451536
lakhimpur,27.985060150000002,80.75384538357649
morigaon,26.24860495,92.33879186815903
nagaon,26.3313646,92.75247628339588
nalbari,26.42386165,91.45122754621168
sibsagar,26.96388985,94.58213344568205
shonitpur,26.677,92.6984
tinsukia,27.52016575,95.5306347312879
udalguri,26.70472375,92.04215071409463
east garo hills,25.61849455,90.63421621777749
east jaintia hills,25.25157605,92.48405006942016
east khasi hills,25.40237355,91.83171775361184
north garo hills,25.8619841,90.70177048839348
ri-bhoi,25.87640255,91.85675741641606
south garo hills,25.347969,90.56577725964563
south west garo hills,25.44463095,89.99696550020556
south west khasi hills,25.330722100000003,91.32173879770662
west garo hills,25.606314249999997,90.21139055037469
west jaintia hills,25.4425965,92.29882747091773
west khasi hills,25.5814429,91.08510943564022
dimapur,25.911744,93.721703
kiphire,25.81138215,94.8494968258058
